year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.254022839,7.296905121,6.619741716,7.220283525,8.071019659,6.408418159,6.17430453,6.73516352,6.462048271
2011,6.512955062,6.704334968,5.988900482,6.710142049,7.106759955,5.634676031,5.621728827,6.309847915,6.089580856
2012,4.785045081,4.593918388,4.031404624,4.515513278,5.362398399,3.89411839,3.814678938,4.492850642,4.650872048
2013,7.531933862,5.808286039,5.269445079,5.804202108,6.056879108,5.065083145,4.958719009,5.62619107,5.570066919
2014,8.186418578,6.301208804,6.442909545,6.906918787,6.738007505,5.784351523,5.73372937,6.099062163,6.210729589
2015,5.287712488,3.594435715,3.480682938,4.133926504,4.86341651,3.577200704,3.46307524,3.998814787,4.031247202
2016,4.806153933,3.417760704,3.364793019,3.267776851,4.214270494,3.126378192,2.891618367,3.308831191,3.423379194
2017,4.999383429,3.883245859,3.968796936,4.172463461,4.548750041,3.790405833,3.56084764,3.916442785,3.910755611
2018,5.490397848,3.947354124,3.811708854,4.046354284,4.381288283,3.758426256,3.533045491,4.025154942,4.030401773
2019,5.112507766,3.332110171,2.869852701,3.129800793,3.826569062,3.07335447,2.661432605,3.31938752,3.49969717
2020,4.569274515,2.728053484,2.271868716,2.664482157,3.300639817,2.587141565,2.215244778,2.909860469,3.085398521
2021,7.38234216,4.88743092,4.85184816,5.28670368,6.23408076,5.59278216,5.07799368,5.92494048,6.2433666
2022,8.308649,5.805461,6.310704,7.077593,7.958245,7.386968,6.853481,7.297107,7.512584
2023,6.684712,5.189338,5.242029,5.406582,6.344121,5.750495,5.191479,5.677948,5.650613
2024,5.194127,4.200577,4.20185,4.342521,5.114598,4.528499,4.062139,4.578878,4.443596
2025,4.213594,3.584859,3.588508,3.759445,4.456979,3.891473,3.4673,4.043263,3.987888
2026,3.625669,3.118079,3.141228,3.367872,3.880473,3.400975,3.04443,3.622533,3.62286
2027,3.13443,2.814363,2.83741,3.118222,3.558741,3.113628,2.828285,3.315406,3.350442
2028,2.876058,2.652449,2.744003,2.915106,3.407456,3.008239,2.780204,3.222567,3.265682
2029,3.03356,2.62633,2.707932,2.886118,3.420762,3.014445,2.79841,3.1882,3.213497
2030,2.914836,2.565025,2.745545,2.976737,3.483771,3.096433,2.900386,3.22611,3.215218
2031,2.828695,2.568714,2.79071,3.02367,3.569899,3.18959,3.039086,3.343057,3.280373
2032,3.016352,2.602197,2.808766,3.132584,3.631186,3.328301,3.176046,3.506787,3.339648
2033,2.997193,2.665663,2.840869,3.265977,3.805427,3.456829,3.361983,3.684196,3.520141
2034,3.066314,2.710329,2.910858,3.384207,3.900569,3.6179,3.498266,3.861104,3.695428
2035,3.159226,2.755018,2.989411,3.480448,4.037017,3.735771,3.636285,4.029991,3.839051
2036,3.231528,2.787365,3.026545,3.50312,4.061968,3.726999,3.663766,4.076721,3.868771
2037,3.293992,2.867354,3.090324,3.557522,4.130064,3.796579,3.668194,4.112775,3.90674
2038,3.45593,2.994708,3.190867,3.701993,4.259203,3.958757,3.835625,4.302787,4.109264
2039,3.515431,3.021759,3.207848,3.674064,4.224813,3.89638,3.761103,4.225013,4.007872
2040,3.590063,3.091251,3.32545,3.831446,4.356409,4.079033,3.962016,4.438752,4.170026
2041,3.765538,3.158199,3.367842,3.898807,4.448615,4.137982,4.046668,4.518301,4.24682
2042,3.788926,3.13364,3.336906,3.910318,4.413907,4.131035,4.037673,4.522941,4.243093
2043,3.73375,3.091184,3.287619,3.868182,4.357785,4.065986,3.967322,4.474222,4.197077
2044,3.592151,3.050537,3.272107,3.86595,4.191014,4.027678,3.940505,4.450418,4.126357
2045,3.651824,3.052971,3.255789,3.848908,4.19783,3.998349,3.936208,4.437391,4.117561
2046,3.564594,3.005419,3.211098,3.811502,4.179885,4.006837,3.938043,4.41749,4.003365
2047,3.515119,2.935276,3.18692,3.758894,4.145279,3.957955,3.901717,4.412855,4.013941
2048,3.444422,2.87624,3.160897,3.726313,4.141592,3.937629,3.885244,4.398518,3.998891
2049,3.45306,2.842565,3.086162,3.683216,4.068883,3.875068,3.804664,4.375498,3.98368
2050,3.507589,2.877966,3.07016,3.663607,4.079675,3.881755,3.791144,4.387479,3.984013
