t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.683876247,4.711565062,4.274324974,4.662090987,5.211405879,4.137874702,3.986709026,4.348852096,4.172503323
2011,2.927163156,3.139824577,2.713908869,3.215775138,3.269097463,2.200280716,2.394996375,2.715813595,2.732003944
2012,1.60568495,1.539768008,1.171484004,1.557710894,1.87262954,0.770146232,1.005573643,1.280376126,1.538252509
2013,3.546416524,2.465455973,2.147142229,2.536507124,2.475824498,1.757503199,1.895343174,2.147623015,2.255814285
2014,3.981166981,2.77147822,2.900041809,3.264085536,2.910622139,2.192987908,2.397177206,2.451128906,2.665740095
2015,1.866609291,0.79368367,0.711922579,1.236132389,1.415156095,0.429196601,0.681535094,0.824554305,1.041525885
2016,1.511995405,0.618041658,0.53891035,0.605065278,0.927490231,0.03958865,0.273632215,0.325044505,0.635908365
2017,1.752855963,1.045269589,1.060862954,1.305793637,1.247641786,0.604537224,0.835410413,0.863670099,1.070924186
2018,1.895133635,0.911394506,0.748657436,1.054078239,0.969653485,0.372757279,0.60648807,0.735525513,0.981903698
2019,1.3330992,0.654717026,0.468885859,0.778262194,0.662969165,0.127699325,0.364702827,0.498806026,0.762453886
2020,1.101873261,0.435260861,0.278984229,0.625428377,0.490423797,-0.083179421,0.196980139,0.36806798,0.658753571
2021,0.885132753,0.292842918,0.150367861,0.501866433,0.364550483,-0.177444782,0.079377124,0.277187097,0.560959446
2022,0.8387278,0.218774647,0.058997713,0.465161037,0.303254454,-0.266133115,0.015299813,0.229643151,0.515484273
2023,0.865754094,0.228310789,0.051674195,0.531469115,0.338711437,-0.231703463,0.055254696,0.282025457,0.568483248
2024,0.96407957,0.306743881,0.13399001,0.667001151,0.455771085,-0.106212453,0.176704832,0.3833312,0.606775531
2025,0.974114892,0.311940994,0.143199241,0.714711935,0.495712344,-0.059441988,0.237855446,0.436622504,0.66299308
2026,0.96311953,0.279906274,0.11540749,0.730345067,0.492783204,-0.052152366,0.247559382,0.444073769,0.691314673
2027,0.963940651,0.260246963,0.08193456,0.718231248,0.482425496,-0.089921092,0.238174175,0.427921899,0.662785757
2028,0.887966057,0.210758314,0.026261837,0.678842772,0.441805372,-0.172270352,0.198263587,0.39283972,0.641886815
2029,0.914150012,0.214736699,-0.003174672,0.657090341,0.430640655,-0.211001135,0.181722492,0.372327952,0.623856824
2030,0.889135361,0.186870744,-0.060452394,0.633764985,0.405841639,-0.269707672,0.148921354,0.32689661,0.567692245
2031,0.845632876,0.167035626,-0.116161375,0.595051524,0.371169061,-0.324000766,0.109990079,0.286873892,0.532271018
2032,0.829125763,0.164919747,-0.128753417,0.601629739,0.368886401,-0.343339015,0.109196493,0.276283209,0.555810997
2033,0.848117767,0.167435037,-0.134717366,0.615917294,0.372251922,-0.380360612,0.122604351,0.298997112,0.574950555
2034,0.808888684,0.166542942,-0.151618496,0.608172651,0.351782038,-0.418027632,0.106503932,0.288140553,0.578668473
2035,0.799734341,0.153173995,-0.182432783,0.605134818,0.3348761,-0.457606591,0.087460409,0.276756205,0.565530636
2036,0.784683017,0.132401513,-0.208144456,0.602659092,0.319809082,-0.488926205,0.074500978,0.26341059,0.542179933
2037,0.787700603,0.111495266,-0.243915486,0.574964743,0.290098521,-0.539758717,0.043336826,0.239120721,0.523915158
2038,0.754500804,0.086952819,-0.285682322,0.536839385,0.256004743,-0.605610495,-0.000371904,0.204649874,0.505324165
2039,0.738469538,0.061041984,-0.318952855,0.520084833,0.227622997,-0.651355385,-0.02553186,0.183912265,0.509660274
2040,0.708294176,0.035217471,-0.351256274,0.509260636,0.208816206,-0.682197203,-0.042008848,0.175430574,0.511407823
2041,0.697139403,0.016027803,-0.37830647,0.477305883,0.181708432,-0.733077106,-0.069813798,0.150948836,0.485826137
2042,0.719885688,-0.001304821,-0.398176932,0.468602988,0.163907174,-0.770428916,-0.084653351,0.143154907,0.49489194
2043,0.7124804,-0.015442878,-0.423732491,0.464569508,0.147691121,-0.795640998,-0.096887543,0.144747875,0.495083169
2044,0.741131797,-0.007824149,-0.413628794,0.485136526,0.15222057,-0.792109566,-0.090925424,0.147905813,0.516730508
2045,0.756995918,-0.011304158,-0.422566955,0.489751272,0.147847635,-0.792261705,-0.090118289,0.149243199,0.531649569
2046,0.763795933,-0.01569781,-0.433793506,0.500407878,0.148171099,-0.786810905,-0.090870053,0.148252632,0.549243047
2047,0.76687819,-0.021660914,-0.436828191,0.520879279,0.157886768,-0.781386178,-0.081915806,0.159492499,0.576509033
2048,0.777684119,-0.024110484,-0.428024469,0.546221062,0.164682763,-0.782700125,-0.07540025,0.168073142,0.603134497
2049,0.798373303,-0.039165649,-0.447019835,0.533634035,0.152139479,-0.821385454,-0.086805682,0.161768979,0.61258772
2050,0.826171672,-0.034895167,-0.443808198,0.549830625,0.162340343,-0.833920299,-0.078308992,0.176333374,0.648380206
